"node","lagoon","station","season","date_time","water_column_position","dissolved_organic_carbon_umol_L","total_dissolved_nitrogen_umol_L","chlorophyll_a_ug_L","conductivity_uS_cm","depth_m","DO_concentration_mg_L","DO_saturation_percent","phycoerythrin_ug_L","pH","salinity","specific_conductivity_uS_cm","temperature_C","notes.x","d18O","notes.y","collection_method","station_name","latitude","longitude","habitat_type","station_sampling_priority"
"Central","Stefansson","SSLD2","open water",2019-08-03,"bottom",125,8,1.8,28643,4.1,10.81,102.3,6.76,7.87,30.01,47184,4.6,NA,-5.7,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2019-08-03,"surface",419,14,0.95,26752,0.6,10.55,102.5,5.35,7.9,25.91,41013,6.1,NA,-5.4,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","break up",2021-06-24,"bottom",149,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","break up",2021-06-24,"surface",128,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","break up",2021-06-26,"bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6,NA,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2021-08-05,"bottom",100,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2021-08-05,"surface",150,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2022-08-02,"bottom",94,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2","open water",2022-08-02,"surface",576,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.3,NA,"pump","Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
"Central","Stefansson","SSLD2_Aux_2022","break up",2022-06-27,"bottom",293,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.8,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2022",70.29559,-147.75026,"lagoon","not applicable"
"Central","Stefansson","SSLD2_Aux_2022","break up",2022-06-27,"surface",118,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2,NA,"pump","Stefansson Sound Deep auxiliary sampling station 2022",70.29559,-147.75026,"lagoon","not applicable"
"Central","Stefansson","SSLS1","break up",2019-06-27,"surface",76,7,0.53,265.6,0.3,11.53,102.7,4.33,8.32,0.18,370,10.2,NA,-20.3,NA,"pump","Stefansson Sound Shallow Station 1",70.33994,-147.97884,"lagoon","primary"
"Central","Stefansson","SSLS1","open water",2019-08-03,"surface",99,7,4.41,27968,0.79,10.07,98.4,14.22,7.71,28.02,42851,6.8,NA,-11.8,NA,"pump","Stefansson Sound Shallow Station 1",70.33994,-147.97884,"lagoon","primary"
"Central","Stefansson","SSLS1","break up",2021-06-22,"surface",225,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21,NA,"pump","Stefansson Sound Shallow Station 1",70.33994,-147.97884,"lagoon","primary"
