node,lagoon,station,season,date_collected,pigment,areal_concentration_mg_m2,mass_concentration_ug_g,flag,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALS2,break up,2019-06-22,Pheophorbide,20.0668554150442,0.598386698434032,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Peridinin,0.523874873847679,0.0156217678191492,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Fucoxanthin,144.697021704874,4.31481521645409,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Alloxanthin,0.602326748271148,0.0179611756212818,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,Zeaxanthin,1.05188789141175,0.0313669336548228,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Chlorophyllide,11.1814278746704,0.311454838771883,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Pheophorbide,16.2057189582701,0.451404743822059,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Chlorophyll a,151.67751759649,4.22492523475912,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Pheophytin,42.0247858760154,1.17058599815214,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Alloxanthin,0.240834241295845,0.00670835519705546,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Zeaxanthin,0.918497883338418,0.0255844435410191,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
